trainer_stats = trainer.train()
Step	Training Loss
1	2.529400
2	2.502400
3	2.522100
4	2.311500
5	2.245600
6	2.006700
7	1.816900
8	1.661200
9	1.449100
10	1.201300
11	1.075200
12	1.196700
13	1.013900
14	0.958500
15	0.896200
16	0.888300
17	0.745500
18	0.803000
19	0.688000
20	0.741700
21	0.721700
22	0.760600
23	0.638200
24	0.571500
25	0.545300
26	0.538300
27	0.617300
28	0.565900
29	0.493000
30	0.458400
31	0.436600
32	0.360600
33	0.344800
34	0.325300
35	0.287000
36	0.297600
37	0.272300
38	0.280700
39	0.287100
40	0.225700
41	0.219300
42	0.248400
43	0.208600
44	0.243400
45	0.246100
46	0.235300
47	0.211700
48	0.201800
49	0.202200
50	0.229500
51	0.179900
52	0.181700
53	0.152100
54	0.205200
55	0.133200
56	0.170600
57	0.180900
58	0.144900
59	0.160800
60	0.170000
61	0.157000
62	0.138500
63	0.167600
64	0.151700
65	0.158300
66	0.160100
67	0.145600
68	0.118100
69	0.131300
70	0.133300
71	0.161100
72	0.131500
73	0.144600
74	0.128000
75	0.122400
76	0.134700
77	0.137900
78	0.137000
79	0.141300
80	0.121600
81	0.126600
82	0.135100
83	0.150100
84	0.128000
85	0.113800
86	0.109700
87	0.126700
88	0.113900
89	0.103600
90	0.118600
91	0.101700
92	0.108700
93	0.107500
94	0.121800
95	0.109200
96	0.106300
97	0.107100
98	0.101500
99	0.117700
100	0.126500
101	0.126900
102	0.101000
103	0.093800
104	0.106700
105	0.142900
106	0.118000
107	0.109800
108	0.119900
109	0.120200
110	0.107800
111	0.111000
112	0.104600
113	0.101400
114	0.097900
115	0.099200
116	0.113800
117	0.100700
118	0.106400
119	0.122400
120	0.088600
121	0.107200
122	0.100800
123	0.106600
124	0.126000
125	0.106300
126	0.109500
127	0.108200
128	0.100500
129	0.102700
130	0.112300
131	0.098300
132	0.113000
133	0.116600
134	0.108600
135	0.101400
136	0.086100
137	0.098300
138	0.094500
139	0.088600
140	0.099400
141	0.089200
142	0.090300
143	0.098200
144	0.109600
145	0.110000
146	0.102100
147	0.095100
148	0.106900
149	0.102800
150	0.096700
151	0.103700
152	0.100200
153	0.085700
154	0.092900
155	0.094600
156	0.086600
157	0.090200
158	0.102600
159	0.087700
160	0.092900
161	0.098100
162	0.092100
163	0.096500
164	0.092200
165	0.101300
166	0.100200
167	0.098000
168	0.092200
169	0.095400
170	0.072200
171	0.083700
